Cableado (Al/Ac),Código,Calibre (AWG/Kcmil),D. Alambre Acero (mm),D. Alambre Al (mm),D. Núcleo (mm),D. Total (mm),RMG (mm),Peso Al (kg/km),Peso Acero (kg/km),Peso Total (kg/km),Carga de Rotura (kg-f),R. Elec. CD a 20°C (Ohm/km),R. Elec. CA a 75°C (Ohm/km),Capacidad In (A),Capacidad Icc (kA)
45/7,Lapwing,1590,3.18,4.77,9.55,38.2,15.16,2239.3,435.1,2674,19138,0.036,0.046,1353,121
54/7,Condor,795,3.08,3.08,9.25,27.74,11.23,1122.4,407.9,1530,12787,0.071,0.089,889,60.5
54/7,Canary,900,3.28,3.28,9.84,29.51,11.95,1270.6,461.8,1732,14476,0.062,0.079,959,68.5
54/7,Cardinal,954,3.38,3.38,10.13,30.38,12.31,1346.8,489.5,1836,15345,0.059,0.075,994,72.6
54/7,Curlew,1033.5,3.51,3.51,10.54,31.63,12.81,1459.1,530.3,1989,16624,0.054,0.069,1044,78.6
54/7,Finch,1113,2.19,3.65,10.94,32.82,13.29,1571.3,559.3,2131,17718,0.05,0.065,1093,84.7
54/19,Grackle,1192.5,2.27,3.77,11.33,33.97,13.76,1683.5,599.3,2283,18984,0.047,0.06,1140,90.7
54/19,Pheasant,1272,2.34,3.9,11.7,35.09,14.21,1795.8,639.2,2435,19776,0.044,0.057,1185,96.8
54/19,Martin,1351.5,2.41,4.02,12.06,36.17,14.65,1908,679.2,2587,21012,0.042,0.054,1230,102.8
54/19,Plover,1431,2.48,4.13,12.41,37.22,15.07,2020.2,719.1,2739,22248,0.039,0.051,1274,108.9
54/19,Parrot,1510.5,2.55,4.25,12.75,38.24,15.49,2132.5,759.1,2892,23484,0.037,0.048,1316,114.9
54/19,Falcon,1590,2.62,4.36,13.08,39.23,15.89,2244.7,799,3044,24720,0.035,0.046,1357,121
84/19,Chukar,1780,2.22,3.7,11.09,40.67,16.27,2458,580.2,3038,23110,0.031,0.038,1508,135.4
72/7,Bluebird,2156,2.44,4.07,12.21,44.76,17.91,2977.3,702.8,3680,27355,0.026,0.031,1702,164
72/7,Kiwi,2167,2.94,4.41,8.81,44.07,17.36,3005.8,374.7,3380,22599,0.026,0.032,1691,164.9
76/19,Thrasher,2312,2.07,4.43,10.34,45.78,18.24,3216.5,501.8,3718,25717,0.024,0.03,1763,175.9
76/19,Joree,2515,2.16,4.62,10.78,47.75,19.03,3498.9,545.9,4045,27975,0.022,0.027,1860,191.4
12/7,Petrel,101.8,2.34,2.34,7.02,11.7,4.54,143.4,235,378,4697,0.516,0.824,234,7.7
12/7,Minorca,110.8,2.44,2.44,7.32,12.2,4.73,156,255.8,412,5112,0.474,0.772,244,8.4
12/7,Leghorn,134.6,2.69,2.69,8.07,13.45,5.22,189.6,310.8,500,6165,0.39,0.669,269,10.2
12/7,Guinea,159,2.92,2.92,8.77,14.62,5.67,223.9,367.1,591,7255,0.33,0.595,291,12.1
12/7,Dotterel,176.9,3.08,3.08,9.25,15.42,5.98,249.1,408.4,658,7865,0.297,0.554,306,13.5
12/7,Dorking,190.8,3.2,3.2,9.61,16.01,6.21,268.7,440.5,709,8483,0.275,0.527,317,14.5
12/7,Cochin,211.3,3.37,3.37,10.11,16.85,6.54,297.6,487.9,785,9394,0.249,0.494,332,16.1
16/19,Brahma,203.2,2.48,2.86,12.41,18.13,7.43,285.5,719.2,1005,12887,0.247,0.568,315,15.5
